CreditScore,Age,Experience,NetWorth,LengthOfCreditHistory,DebtToIncomeRatio,Monthly_LoanToIncomeRatio,RiskScore,LoanApproved
548,41,17,590053,26,0.0925801890302895,0.2568182315961961,40.0,1
603,18,0,495578,13,0.05919326899282356,0.22753478235919578,32.0,1
612,46,23,792824,18,0.026673172318451656,0.16017319337320837,31.200000000000003,1
593,44,20,467275,7,0.06629003979628754,0.05921768158837587,44.0,1
592,31,6,19428,5,0.037188961684847394,0.10368057931929014,44.8,1
602,31,7,20885,24,0.027827603635030278,0.11576042158221336,39.2,1
602,40,18,86439,27,0.08153092405128118,0.06000893394660798,40.0,1
527,34,11,4742,1,0.03353492920001449,0.03167146386134001,41.6,1
550,32,9,213900,26,0.11202339444381959,0.14546326292502043,40.0,1
637,55,33,9094,25,0.01872669224371529,0.023078573636437588,36.8,1
617,57,29,4139,25,0.022917245654915878,0.06913133318988765,35.2,1
499,39,16,46269,23,0.03445563247325362,0.0315078648409233,45.6,1
563,33,8,10599,19,0.18240230160632942,0.079423954975408,45.6,1
584,45,22,127219,23,0.09151744508030275,0.04785535073424252,43.2,1
610,40,16,21113,9,0.02347456336609308,0.049397983880820735,37.6,1
564,34,13,10754,22,0.05260942149960078,0.1352935018538881,43.2,1
586,60,36,195235,11,0.0855962081767027,0.09302954333610203,40.0,1
548,44,24,27917,28,0.04639112328915777,0.1715588028110892,41.6,1
559,46,24,1357204,2,0.054166868902587,0.10469817818586662,37.6,1
620,32,11,87804,7,0.07138634348211646,0.16519917768686143,36.8,1
636,41,19,64311,20,0.10849186655638268,0.0833441992148969,38.400000000000006,1
586,40,16,1839,27,0.05506523407521105,0.11714523135312764,39.2,1
579,32,8,8687,21,0.018323280977796903,0.087341617050977,41.6,1
596,42,18,4346,21,0.023165609080346768,0.06342400283123534,44.0,1
622,43,23,6599,24,0.048597199813754044,0.16520738137289967,36.8,1
612,37,16,66606,3,0.0330316356558156,0.014437864192280254,36.8,1
591,38,15,3712,21,0.027526210716977143,0.0521910423998662,44.8,1
598,48,25,25039,29,0.052026853892276945,0.1327259004371534,40.8,1
559,42,17,10533,17,0.04925282098200671,0.09755113289227052,42.400000000000006,1
515,33,12,13442,20,0.05429505597939166,0.05030459003832668,44.0,1
627,71,49,4978,6,0.10383508545251659,0.06839764283060451,44.8,1
537,70,47,25800,18,0.07306721406973841,0.09612553009536867,39.2,1
574,30,8,42257,19,0.04017108226155032,0.040308913215221454,40.8,1
546,33,9,205211,28,0.06535465051877562,0.17713266180313447,51.2,1
508,18,0,94409,9,0.017753064915924165,0.04886853728407721,40.8,1
568,33,12,33927,11,0.0804574312225297,0.0793864458606263,44.0,1
596,47,24,179087,15,0.06410921029894591,0.055165232953418325,37.6,1
537,32,10,10435,3,0.029887920298879204,0.052566892300468446,40.0,1
617,51,30,110930,23,0.12125876730184346,0.27458525610934736,35.2,1
434,40,18,244907,29,0.034984539660503564,0.07850033877968228,36.0,1
490,27,5,7658,23,0.07189972441994845,0.08292923464173584,41.6,1
606,48,27,10184,2,0.09563869825105158,0.06685945396358059,49.6,1
554,34,10,78606,12,0.008106414095689114,0.10434850815791602,45.6,1
580,33,9,6479,27,0.07745408001400299,0.0722309402414252,39.2,1
519,30,6,107152,20,0.09160670506866515,0.07167722332386756,35.2,1
577,48,26,153844,6,0.027483476551581114,0.11427064396329162,40.8,1
567,36,13,10955,14,0.037361063544942244,0.06113653742175608,42.400000000000006,1
588,45,22,36801,25,0.08430635266178509,0.13385027317519255,39.2,1
624,40,15,67942,9,0.05321809037639532,0.10823465271850982,37.6,1
625,50,29,367424,15,0.08376250266014046,0.19629341267423125,33.6,1
606,51,31,13797,21,0.02241042345276873,0.04647786060839741,36.0,1
587,46,24,96702,22,0.13657721624725908,0.11560935647380889,41.6,1
562,49,26,87179,16,0.02633096942757287,0.045830167515270095,38.400000000000006,1
558,30,7,274308,25,0.04437457097938487,0.07854516567969773,40.8,1
568,43,20,169990,19,0.07502947212155613,0.08184650266490216,37.6,1
636,54,29,202561,11,0.05504420491704008,0.13771400776076242,38.400000000000006,1
592,29,5,134663,27,0.04466781701867941,0.042385051245077285,47.2,1
621,53,28,91832,21,0.18089895422120644,0.11319804030590344,36.0,1
650,46,25,12513,28,0.0789293272526752,0.05335899205965235,33.6,1
571,54,29,9907,17,0.0798004987531172,0.1318082978490657,43.2,1
624,40,15,83919,28,0.04411729522381633,0.04990974817142186,40.8,1
598,37,16,44638,10,0.030202706627170818,0.1443683689583554,45.6,1
645,47,23,164553,14,0.029743697922160108,0.06749098042058156,40.0,1
518,35,12,139486,27,0.02828529928904518,0.11536747164517974,40.8,1
626,59,34,10705,25,0.03518628258309796,0.040637562448410124,35.2,1
564,28,4,104475,27,0.05354495508851487,0.07851470050688568,40.0,1
525,28,5,21493,28,0.10500802669268784,0.08734394388227966,48.8,1
638,57,35,6458,23,0.037919450129358614,0.11383954972360306,37.6,1
645,59,37,2312,25,0.022802937018287957,0.1099570124688605,37.6,1
580,21,0,128683,1,0.02799105048045863,0.02934198769514762,48.0,1
595,37,15,9736,19,0.056864274570982844,0.06580492448262772,41.6,1
609,42,21,3674,10,0.08910048065918974,0.033514059730732196,41.6,1
609,40,17,583449,7,0.09042303723853297,0.15854608471489873,33.6,1
585,46,23,7021,5,0.016727678246745377,0.1748651789981846,56.0,1
584,27,7,135564,21,0.13012004031888574,0.1676183178810945,40.8,1
654,44,19,8257,27,0.0337501537452339,0.07526968316092138,40.8,1
562,45,22,433093,25,0.1444361736492465,0.041791788718764676,47.2,1
577,29,7,168347,29,0.1557679136362154,0.08370321428268826,38.400000000000006,1
598,32,9,208618,19,0.04511703747624887,0.24418685318522884,39.2,1
658,60,39,6557,25,0.05812619502868069,0.052105272324064006,37.6,1
650,48,25,6525,20,0.023412146499768197,0.09048041768805215,34.4,1
654,59,33,10613,27,0.05912576080942218,0.12721161285894522,35.2,1
637,58,35,20465,14,0.04741821497777271,0.1471019672875601,39.2,1
440,25,2,9049,11,0.0796872975424351,0.0494542389320455,42.400000000000006,1
525,29,9,7696,25,0.06372624039668207,0.06726131928889115,41.6,1
591,36,14,77875,26,0.1128926289891944,0.222283489363468,37.6,1
584,39,18,1354,16,0.03925024573772159,0.04234858914000122,44.8,1
541,24,0,170699,3,0.0486567817862012,0.01894552372358925,40.8,1
608,41,18,5014,26,0.10944330535030368,0.05994876152491474,36.0,1
462,31,10,232362,24,0.08419962091333985,0.06890284579929112,35.2,1
643,63,40,31302,23,0.01803341121735819,0.06495801046953843,38.400000000000006,1
468,27,3,35874,8,0.04962624414339753,0.09008449674971325,48.8,1
538,45,24,186298,20,0.021234625203063354,0.09532591966624608,37.6,1
596,57,36,39329,21,0.04893465185034152,0.08012740161713934,40.8,1
635,36,13,23054,18,0.09124456643071953,0.046811096914533966,43.2,1
577,49,26,1208,20,0.14102449089441108,0.027184280227459272,43.2,1
566,55,34,83827,24,0.08959665420034583,0.0886223595472337,40.8,1
521,30,7,2670,28,0.07635675971407843,0.04283113082753407,40.8,1
546,28,3,129013,29,0.076250703069182,0.1162875610370232,40.0,1
644,48,24,82935,2,0.05583204382919995,0.08179577576673813,40.8,1
594,29,10,56057,26,0.13452259102207925,0.32965086379055203,46.400000000000006,1
516,34,11,81972,25,0.05859375,0.0838580750861795,42.400000000000006,1
558,36,14,88638,3,0.05462155563306593,0.05614480505254463,44.0,1
611,63,43,9160,15,0.10790988376727946,0.022811149029363403,40.8,1
621,29,8,3345,25,0.03775359398092167,0.09029326335808735,43.2,1
536,48,23,1185153,27,0.11226217464918072,0.9170123376904207,36.8,1
500,35,14,5120,18,0.020185786377808494,0.03703166371214634,39.2,1
565,32,6,255047,9,0.04623575117108187,0.12150462452037625,40.0,1
631,47,23,81074,22,0.034564753756771996,0.1812323905762046,41.6,1
602,51,27,44507,26,0.059124845751622385,0.1017548784154034,43.2,1
609,38,19,172723,19,0.03049902718620182,0.06955529214526275,36.8,1
580,41,19,24879,16,0.04030467101036982,0.04683163809815776,44.8,1
584,44,21,45660,24,0.07328192237228921,0.0966181933149146,44.8,1
685,59,40,9288,18,0.06069306712017139,0.06307784580840242,39.2,1
640,55,33,52602,24,0.10360374764173567,0.08969532052482747,37.6,1
640,33,11,123548,9,0.03695422100915898,0.03622126585891462,42.400000000000006,1
510,45,21,50604,27,0.08517955690634248,0.14693266563946064,38.400000000000006,1
578,44,20,73185,1,0.13539299081320177,0.06392610041788198,42.400000000000006,1
620,60,37,101159,11,0.14942162177833185,0.15107358292732062,38.400000000000006,1
545,18,0,2662,24,0.033892986034834455,0.04994437410283503,39.2,1
636,58,33,55724,21,0.057710693281571405,0.08360962553676761,36.0,1
605,54,35,50645,16,0.04415647647047809,0.04752092015502245,40.8,1
638,55,33,7909,23,0.009155857668030797,0.05904010913138866,39.2,1
607,49,30,7453,6,0.15582180868013512,0.07491794872920676,40.8,1
618,48,23,448039,20,0.13082741586909538,0.14309235347863786,33.6,1
503,43,23,7240,11,0.01622615059413099,0.24454204482730219,40.0,1
610,47,25,74826,4,0.027975161193214835,0.04776054714314165,36.8,1
667,53,28,268231,15,0.05824936475948479,0.10000540194342085,29.6,1
522,50,30,2006,20,0.06802746970532844,0.07428009171188721,40.8,1
608,38,14,488245,19,0.02694853882447606,0.042271905928818646,33.6,1
496,46,25,13731,4,0.027153279119736834,0.09383794316413553,40.8,1
583,45,22,234266,27,0.04471026571232474,0.10017798396835952,35.2,1
583,44,21,59029,16,0.012370859752582805,0.01781617945582998,36.8,1
566,33,12,200295,14,0.038643885857411214,0.0684309326805889,38.400000000000006,1
526,41,19,142191,28,0.042116191937886516,0.021451158419660256,37.6,1
547,40,14,228076,26,0.10256410256410256,0.12401862540283062,40.0,1
551,40,20,60540,5,0.05855222649488249,0.04829993549764497,38.400000000000006,1
544,31,5,10370,24,0.035755318477368854,0.036128529197679574,46.400000000000006,1
632,40,15,44508,14,0.029277393737890785,0.1512999504397022,44.0,1
565,27,6,97684,8,0.10473772783022904,0.10512697809063261,38.400000000000006,1
585,58,35,162493,26,0.08046310086191212,0.11701447757901262,40.8,1
528,38,14,45218,21,0.03114902301268338,0.12139535752134922,39.2,1
622,27,7,147456,27,0.07990796508086892,0.17717400543069767,37.6,1
543,39,15,6256,23,0.04605008806220198,0.0997203326640729,46.400000000000006,1
659,57,33,201705,6,0.16865633731267463,0.06821813898911537,35.2,1
614,53,31,28535,25,0.03606577799925253,0.12683410029028372,40.8,1
518,39,17,11885,28,0.024456650036983996,0.11095694256201552,40.8,1
539,18,0,78223,2,0.034176189413602356,0.03398845374229366,43.2,1
625,60,34,105834,6,0.02906738128002704,0.2908599179345851,33.6,1
523,29,7,49584,15,0.09243785251723417,0.10761368529322657,45.6,1
547,54,34,60117,16,0.017693499318762948,0.05310013048641767,44.0,1
549,29,4,18983,20,0.07408432193131118,0.09878975105227901,44.0,1
559,47,26,54027,18,0.024800130527002775,0.09443034518024289,40.0,1
571,65,44,45393,26,0.05481093223511794,0.07304284584863406,43.2,1
644,48,26,27369,27,0.03158310303987367,0.16051963304992714,39.2,1
591,38,16,65454,10,0.06790717395913175,0.06928793156352224,41.6,1
654,35,16,109424,15,0.03133610675887406,0.050161198689174125,31.200000000000003,1
628,45,22,658296,27,0.41099142668718397,0.16988897372827172,35.2,1
582,24,3,213789,20,0.10506933223103228,0.10119820441836105,40.0,1
594,33,12,13326,26,0.028923454646166743,0.10282168614368296,43.2,1
498,29,7,619235,25,0.035565674805684226,0.1559745972859928,33.6,1
588,33,7,10120,25,0.058680947012401355,0.06245436921234547,42.400000000000006,1
609,47,24,75451,16,0.10186757215619695,0.21232874927112438,38.400000000000006,1
602,31,7,39651,18,0.05727885759619199,0.11337385718049307,40.0,1
602,35,14,149032,1,0.03796246648793566,0.0878115223089072,42.400000000000006,1
598,40,15,5431,19,0.027244522008919914,0.08787333928996947,43.2,1
586,44,21,58839,23,0.06447185632751434,0.13435963165654044,48.8,1
596,48,24,24782,29,0.08461031025943268,0.23887467288039554,39.2,1
569,50,27,1273,23,0.009124117754012463,0.12378278877323812,40.0,1
565,41,15,93388,25,0.03397027600849257,0.050035016202112176,43.2,1
593,45,20,117670,27,0.06348767246446972,0.0387150064280688,40.8,1
550,37,15,53921,22,0.06274108558858137,0.0808356540704231,38.400000000000006,1
620,37,15,280171,22,0.030234592237699247,0.07743037926133069,37.6,1
627,55,30,383141,23,0.1253928535682114,0.19461026160729789,32.800000000000004,1
620,51,25,21042,7,0.07296092859363665,0.04464890878638351,36.8,1
620,49,31,26851,6,0.039125754668413906,0.075441014255002,42.400000000000006,1
535,29,6,443189,5,0.11226161063764817,0.06760347525762138,40.8,1
596,60,35,49939,26,0.05286281179138322,0.09649473888367131,40.0,1
663,62,41,3328,19,0.010928408803440426,0.14173093325918834,38.400000000000006,1
637,36,15,409777,5,0.06639082189204439,0.15578440965988394,36.0,1
529,33,10,4951,28,0.029410928122422277,0.010967763145067755,47.2,1
625,38,17,83217,11,0.06052373202781401,0.05812139655572168,40.8,1
555,29,8,261091,19,0.03564041894865728,0.053569377421852506,40.0,1
521,18,0,113390,5,0.09366382299343644,0.07403099993294958,41.6,1
636,40,17,3298,23,0.11273125468272722,0.1160858564448873,39.2,1
514,42,16,351899,3,0.02354870833577412,0.06049671389381542,38.400000000000006,1
508,41,18,1033,24,0.04759993388898071,0.1635713226785334,39.2,1
527,41,19,32554,28,0.028269236989358605,0.07372609945779132,40.0,1
627,56,33,86168,14,0.02755242614419103,0.07471190053352339,40.0,1
673,59,35,18467,21,0.042703536944681826,0.07806958961368927,37.6,1
608,32,9,34144,16,0.03956712884680419,0.13448893308272378,39.2,1
615,43,24,118392,28,0.05709738049680817,0.04105170653547766,33.6,1
602,52,30,3745,11,0.03248017911637964,0.13939366911999176,42.400000000000006,1
663,52,30,13714,9,0.026292241948837173,0.07909753575556348,37.6,1
631,38,12,35500,12,0.05245801058363372,0.04941413628426406,44.8,1
569,50,26,1681779,14,0.2856035866496928,0.1115947247860236,40.8,1
616,52,26,18467,29,0.09033544845601926,0.23123010959135654,36.8,1
542,22,0,98999,5,0.03054132094637008,0.03943840722416495,42.400000000000006,1
608,42,20,64639,5,0.04807582938388626,0.05805142752540424,43.2,1
546,34,11,19027,14,0.02613348352576739,0.0717017510908812,47.2,1
522,45,23,218426,29,0.06812795584533227,0.1262115278262877,38.400000000000006,1
604,22,4,12654,20,0.04459231037535886,0.2577438273314321,40.0,1
532,49,23,1172,18,0.02429675168995872,0.018432074815172325,43.2,1
608,32,9,5312,3,0.0893067582107906,0.059802079472814844,39.2,1
580,27,5,4154,29,0.18352337514253134,0.059254757717804925,40.0,1
634,61,34,7608,26,0.02075441311365212,0.02162171319929872,36.8,1
596,52,30,23896,2,0.020976805103722167,0.04699415400399255,48.0,1
671,55,33,56406,8,0.08142480681340784,0.0751583417443095,34.4,1
654,49,27,26425,19,0.10464651843962189,0.08032668142055407,36.0,1
528,25,4,31394,28,0.015085076974405413,0.08359806937367466,39.2,1
623,47,25,108644,4,0.05157521385353641,0.09199319098504383,41.6,1
450,18,0,11007,25,0.0680926916221034,0.03692065808363146,41.6,1
622,42,20,4298,21,0.013505970627259,0.05560976433473351,40.0,1
613,38,15,10188,6,0.014070834105956652,0.01647105514619067,41.6,1
607,47,23,7796,16,0.03896596164051247,0.08948845359727492,42.400000000000006,1
572,39,15,91515,6,0.04925235631776628,0.16132082051090468,44.8,1
596,44,21,1623,24,0.035582035209665075,0.24161081902582318,48.0,1
575,39,19,115854,15,0.07929444129783964,0.0644569349936382,40.8,1
576,48,26,45760,5,0.09130780685828523,0.023214016879157667,45.6,1
536,42,22,43211,5,0.06142413695795316,0.21758569660395757,40.0,1
499,34,10,121442,4,0.0437945892491347,0.04415109820226362,37.6,1
613,52,28,255098,6,0.0910419655057547,0.06985287399224863,34.4,1
604,47,22,43990,11,0.058235341172706186,0.05620580811649749,48.0,1
542,44,23,161208,7,0.047002297890119074,0.10963437074602804,40.0,1
662,54,31,27145,24,0.01884292065270117,0.020900138133396973,33.6,1
595,41,17,164935,9,0.028244155029028717,0.20810449434617317,38.400000000000006,1
495,37,17,98418,9,0.08095637138947526,0.2715491445208163,43.2,1
607,53,28,69288,15,0.04716215218835339,0.0608088579604015,43.2,1
574,54,32,162142,28,0.01936940216995558,0.06347403269064052,36.8,1
539,33,11,56111,21,0.04969166145321298,0.14409499838638443,44.0,1
573,18,0,147864,18,0.10346611484738748,0.15729544304497117,37.6,1
575,39,19,8356,13,0.15837816332531873,0.08317679957991149,42.400000000000006,1
540,39,16,14517,20,0.06546013317397986,0.2078156517571155,40.8,1
612,43,21,171422,9,0.05160329963406314,0.12856520149937764,46.400000000000006,1
660,54,34,747585,1,0.05523577173788739,0.04175351234800653,33.6,1
604,40,19,349766,12,0.08452942111116996,0.1705440561586328,36.8,1
562,54,32,382048,26,0.0505258512907259,0.12891712708370226,36.8,1
490,47,25,24020,25,0.032472742719592204,0.05105667110505338,37.6,1
605,48,23,436314,7,0.029858342522690644,0.11253612067557722,37.6,1
570,33,9,34860,12,0.05929597229271788,0.10450778172442214,47.2,1
536,39,19,660930,28,0.1190721310757234,0.17834899586672384,36.0,1
540,18,0,426705,16,0.02713088820390261,0.08311174864658763,36.8,1
647,52,32,3311,4,0.020989432065018427,0.07325874572797926,38.400000000000006,1
611,46,24,81819,21,0.03148518953255541,0.07318538253869726,37.6,1
643,44,22,24866,23,0.043969102792632206,0.15541548888251436,36.8,1
597,53,31,54515,26,0.06288813772502162,0.13671532990245963,41.6,1
609,43,21,8572,11,0.03486002696009279,0.04061967806085272,38.400000000000006,1
626,36,13,1383127,19,0.13645925429102773,0.28624720566660355,34.4,1
624,47,21,10883,22,0.04894935726857915,0.10124541083498803,36.8,1
641,50,27,293425,22,0.11220645988619059,0.1678052223558885,33.6,1
563,48,28,344501,1,0.0880891558824355,0.06769360195208023,44.0,1
512,33,12,617633,24,0.11962087373352218,0.32256075948394575,36.0,1
590,49,26,682561,15,0.10277715059832919,0.3973798429833788,36.0,1
611,55,33,3901,16,0.08951666811985932,0.02139529828829012,45.6,1
586,55,33,1415,16,0.011659632022013386,0.09924722907078719,40.0,1
618,61,37,52889,15,0.033007623189165114,0.08752025961509562,40.0,1
528,47,22,1356045,22,0.043348629799590366,0.05104346209211033,33.6,1
594,47,24,91716,11,0.04591281034434608,0.10011929963457755,43.2,1
558,32,10,304344,11,0.029869277983413767,0.03928797781441013,33.6,1
460,46,24,224553,1,0.06619728533062351,0.1266168909356547,39.2,1
600,40,17,463496,27,0.08579535435469132,0.534574871551175,38.400000000000006,1
531,46,21,398717,8,0.05570310480174865,0.14218838555233448,34.4,1
525,52,28,24265,23,0.06849366284069242,0.06625008729312275,42.400000000000006,1
623,47,25,64224,20,0.05513812067758204,0.08525156671471555,40.0,1
618,51,29,16980,4,0.034452383282764024,0.08488275755210718,45.6,1
534,48,27,188885,12,0.0885950605778192,0.08433564084078497,41.6,1
659,61,42,217108,14,0.09599588589060469,0.08913579636990394,32.800000000000004,1
486,51,30,503702,21,0.05212122686846812,0.10324367339379863,35.2,1
615,29,6,103591,12,0.10480236899703875,0.1127554318292676,37.6,1
623,26,5,7184,17,0.04127245608957949,0.01526616878596527,39.2,1
514,53,29,404350,14,0.0259758651035292,0.08950951882437123,36.8,1
520,29,8,174303,10,0.04822673170302023,0.08011544522119869,40.0,1
582,36,14,92894,2,0.03331980810081867,0.028432273678669625,44.8,1
544,42,21,41888,18,0.042302439024390244,0.028672806940156725,42.400000000000006,1
554,45,20,36933,16,0.05264229523368811,0.15767475225650499,42.400000000000006,1
600,50,26,26904,21,0.06224765787307436,0.0898723848927943,37.6,1
575,43,21,240644,27,0.040581017102000065,0.08817801535418247,35.2,1
439,36,15,92372,29,0.1042112556778813,0.06461070323515453,44.8,1
587,25,3,194075,6,0.09950585527651798,0.09133009403155325,38.400000000000006,1
626,44,21,8398,27,0.08241777365276408,0.05814904862057679,38.400000000000006,1
611,33,13,145880,12,0.07065240919520326,0.09318163484764946,38.400000000000006,1
523,30,7,2478,22,0.03247727473303327,0.04510215575481083,43.2,1
603,39,18,50906,8,0.0385228509548258,0.10551859038913053,36.0,1
552,36,13,198689,18,0.08686130348838862,0.07056763887348014,42.400000000000006,1
621,41,21,295933,2,0.14342259241412544,0.11389854464602184,41.6,1
602,32,12,8963,13,0.06740272007963191,0.04550086807944025,43.2,1
603,31,5,296073,21,0.0551371582454699,0.13035403523181902,35.2,1
612,44,22,73108,12,0.12104923672328531,0.02877110340867451,36.8,1
638,33,12,10327,3,0.02594157392033405,0.07153355533325514,39.2,1
609,32,10,8792,6,0.0338564627049903,0.08567221986181052,40.8,1
578,55,33,414428,8,0.029127273294282136,0.05069194086790822,49.6,1
534,47,23,9297,9,0.030541862599464474,0.06682930200257661,39.2,1
599,46,24,84874,28,0.06476197044674725,0.21961455042791006,40.8,1
627,43,21,19035,9,0.030896854664579178,0.06602528710848606,39.2,1
649,47,24,100470,9,0.05569537796464632,0.06654576965073472,32.800000000000004,1
575,47,24,52657,29,0.03890121139737246,0.19763556727453824,43.2,1
525,46,21,148141,9,0.02026657594498378,0.03017282284187377,36.0,1
512,39,21,434306,15,0.05289581973871702,0.035473781568203445,36.8,1
539,30,10,105051,23,0.09880803011292345,0.050624426239781195,36.8,1
528,48,25,231705,16,0.0815615680411815,0.34499085311158784,34.4,1
598,53,30,153261,16,0.10421756576014266,0.1280870549652612,36.0,1
615,31,8,160004,12,0.059947074698037575,0.07280737825036437,33.6,1
522,18,0,1212567,24,0.2236328693727797,0.22026846494873872,35.2,1
543,43,18,10909,23,0.06023132319778861,0.051306229634661395,40.0,1
619,38,16,117036,28,0.13864053093611567,0.11152591488162437,38.400000000000006,1
494,30,5,35071,4,0.02104089596108042,0.06691271596110059,46.400000000000006,1
502,44,23,34703,20,0.03680878007598143,0.10393473825121458,43.2,1
616,47,25,143971,25,0.03583735354927636,0.09011410890489596,39.2,1
682,75,53,10793,25,0.05980133114819894,0.18016462636002087,36.8,1
534,36,13,581271,18,0.06372631225893007,0.14630174728715112,34.4,1
594,50,27,4419,13,0.028994261552401087,0.0335647011203437,44.0,1
677,61,41,21087,10,0.04521607442262967,0.11958912153646983,36.0,1
541,36,14,5973,20,0.033617300131061595,0.03547805631419368,40.8,1
581,50,29,3189,15,0.04963097229037524,0.03671245299544641,48.8,1
667,57,38,137722,23,0.07892440048210798,0.06662605480761313,35.2,1
500,30,5,105814,14,0.08508438273200634,0.08912714668561497,40.8,1
620,54,33,280673,5,0.0554719186695241,0.09942995907457665,38.400000000000006,1
554,35,15,151903,23,0.07484979973297731,0.11258532784824704,37.6,1
606,49,29,216055,22,0.06108404078967197,0.1551511795903984,39.2,1
650,54,34,74169,16,0.05297606687912464,0.050140140488921695,38.400000000000006,1
546,32,12,244669,15,0.030933750218282513,0.06252950549105436,35.2,1
621,50,28,20706,14,0.036774171498877864,0.04830130143096137,38.400000000000006,1
574,53,29,111990,20,0.3293791918275772,0.18373219831864984,41.6,1
580,33,8,14160,21,0.08227122530177355,0.21138369202764867,41.6,1
608,18,0,66069,19,0.09923237484744449,0.03843940652089818,43.2,1
525,53,29,80544,22,0.059542661683663775,0.042562399643640794,37.6,1
544,38,13,27704,4,0.025256175857817083,0.06973023801267726,40.0,1
589,31,9,481720,18,0.07457727677247108,0.05119476523012016,40.8,1
625,42,17,456482,21,0.045123125601870956,0.12187872583909627,32.800000000000004,1
607,35,12,59664,11,0.04927913592747963,0.02509481308018415,43.2,1
571,28,9,134367,21,0.0429878697595233,0.08285613017820882,38.400000000000006,1
603,42,16,314536,12,0.13913352272727272,0.1236470125816599,32.0,1
573,43,22,7660,22,0.11342562361238082,0.09283752852223309,40.8,1
559,49,29,1397840,18,0.07075887752768613,0.11083752266614012,42.400000000000006,1
599,35,12,197288,20,0.04333225002708266,0.043982813446892546,36.8,1
644,33,12,15773,27,0.034772967797208086,0.05038631775083253,39.2,1
570,57,36,110443,22,0.025572657241762553,0.04915268739972925,40.0,1
616,38,16,10646,2,0.041994262643433915,0.04405151554954854,39.2,1
572,51,26,98369,20,0.03828402079385901,0.10912609242503324,37.6,1
440,32,6,1571,22,0.021837210092536308,0.04050541636340205,40.8,1
598,32,9,515375,28,0.0124812877889457,0.07760500401600176,34.4,1
619,54,35,57257,25,0.06654886140099356,0.04291165756532397,34.4,1
652,48,24,130617,6,0.024283714733806642,0.07281214060094439,32.800000000000004,1
444,41,22,58331,21,0.046668852384882366,0.10023951478836157,36.8,1
511,48,26,612585,12,0.128686327077748,0.21415047979392,34.4,1
617,42,18,247930,11,0.051966180739518725,0.10030464916602844,39.2,1
557,45,25,25397,17,0.10587820588141042,0.034984947922087464,43.2,1
